active_energy_burned,unit,date_components
2.94,Cal,9/22/2022
70.646,Cal,9/23/2022
125.066,Cal,9/24/2022
125.511,Cal,9/25/2022
33.944,Cal,9/26/2022
37.326,Cal,9/27/2022
51.802,Cal,9/28/2022
28.48,Cal,9/29/2022
46.523,Cal,9/30/2022
153.225,Cal,10/1/2022
140.076,Cal,10/2/2022
171.521,Cal,10/3/2022
37.3858,Cal,10/4/2022
51.775,Cal,10/5/2022
38.236,Cal,10/6/2022
123.139,Cal,10/7/2022
140.989,Cal,10/8/2022
104.963,Cal,10/9/2022
29.026,Cal,10/10/2022
40.843,Cal,10/11/2022
35.079,Cal,10/12/2022
128.726,Cal,10/13/2022
49.368,Cal,10/14/2022
110.087,Cal,10/15/2022
125.881,Cal,10/16/2022
31.3101,Cal,10/17/2022
23.683,Cal,10/18/2022
119.003,Cal,10/19/2022
33.489,Cal,10/20/2022
66.425,Cal,10/21/2022
92.181,Cal,10/22/2022
152.867,Cal,10/23/2022
31.251,Cal,10/24/2022
25.014,Cal,10/25/2022
48.385,Cal,10/26/2022
33.86,Cal,10/27/2022
76.4187,Cal,10/28/2022
213.776,Cal,10/29/2022
128.844,Cal,10/30/2022
75.024,Cal,10/31/2022
26.347,Cal,11/1/2022
76.356,Cal,11/2/2022
40.97,Cal,11/3/2022
38.761,Cal,11/4/2022
90.29,Cal,11/5/2022
104.36,Cal,11/6/2022
39.039,Cal,11/7/2022
27.9924,Cal,11/8/2022
38.561,Cal,11/9/2022
63.111,Cal,11/10/2022
152.511,Cal,11/11/2022
43.384,Cal,11/12/2022
92.587,Cal,11/13/2022
19.657,Cal,11/14/2022
35.92,Cal,11/15/2022
27.97,Cal,11/16/2022
135.063,Cal,11/17/2022
113.796,Cal,11/18/2022
98.99,Cal,11/19/2022
102.451,Cal,11/20/2022
44.523,Cal,11/21/2022
50.914,Cal,11/22/2022
30.572,Cal,11/23/2022
54.685,Cal,11/24/2022
46.421,Cal,11/25/2022
119.122,Cal,11/26/2022
83.787,Cal,11/27/2022
46.282,Cal,11/28/2022
39.05,Cal,11/29/2022
29.37,Cal,11/30/2022
29.583,Cal,12/1/2022
