creation_datetime,end_datetime,source_version,start_datetime,record_type,unit,value
2/6/2017 12:02,2/6/2017 11:27,10.2.1,2/6/2017 11:27,FlightsClimbed,count,1
2/7/2017 9:17,2/7/2017 8:25,10.2.1,2/7/2017 8:25,FlightsClimbed,count,1
2/7/2017 9:17,2/7/2017 8:25,10.2.1,2/7/2017 8:25,FlightsClimbed,count,1
2/7/2017 9:17,2/7/2017 8:26,10.2.1,2/7/2017 8:26,FlightsClimbed,count,1
2/7/2017 9:17,2/7/2017 8:34,10.2.1,2/7/2017 8:34,FlightsClimbed,count,1
2/10/2017 11:13,2/10/2017 10:36,10.2.1,2/10/2017 10:36,FlightsClimbed,count,1
2/21/2017 8:46,2/21/2017 8:18,10.2.1,2/21/2017 8:18,FlightsClimbed,count,1
2/21/2017 8:46,2/21/2017 8:18,10.2.1,2/21/2017 8:18,FlightsClimbed,count,1
2/21/2017 13:44,2/21/2017 13:38,10.2.1,2/21/2017 13:38,FlightsClimbed,count,1
2/25/2017 23:48,2/25/2017 23:22,10.2.1,2/25/2017 23:22,FlightsClimbed,count,1
3/6/2017 8:55,3/6/2017 8:01,10.2.1,3/6/2017 8:01,FlightsClimbed,count,1
3/9/2017 8:47,3/9/2017 8:18,10.2.1,3/9/2017 8:18,FlightsClimbed,count,2
3/9/2017 8:47,3/9/2017 8:36,10.2.1,3/9/2017 8:36,FlightsClimbed,count,1
3/9/2017 8:47,3/9/2017 8:38,10.2.1,3/9/2017 8:38,FlightsClimbed,count,1
3/9/2017 8:47,3/9/2017 8:39,10.2.1,3/9/2017 8:39,FlightsClimbed,count,1
3/9/2017 8:47,3/9/2017 8:39,10.2.1,3/9/2017 8:39,FlightsClimbed,count,1
3/9/2017 17:46,3/9/2017 17:20,10.2.1,3/9/2017 17:20,FlightsClimbed,count,1
3/11/2017 13:45,3/11/2017 13:03,10.2.1,3/11/2017 13:03,FlightsClimbed,count,1
3/12/2017 13:44,3/12/2017 12:44,10.2.1,3/12/2017 12:44,FlightsClimbed,count,1
3/12/2017 13:44,3/12/2017 12:44,10.2.1,3/12/2017 12:44,FlightsClimbed,count,1
3/12/2017 13:44,3/12/2017 12:45,10.2.1,3/12/2017 12:45,FlightsClimbed,count,1
3/13/2017 16:45,3/13/2017 16:22,10.2.1,3/13/2017 16:22,FlightsClimbed,count,1
3/16/2017 14:42,3/16/2017 14:22,10.2.1,3/16/2017 14:22,FlightsClimbed,count,1
3/22/2017 14:47,3/22/2017 14:17,10.2.1,3/22/2017 14:17,FlightsClimbed,count,1
3/23/2017 14:44,3/23/2017 14:09,10.2.1,3/23/2017 14:09,FlightsClimbed,count,1
3/25/2017 16:44,3/25/2017 16:38,10.2.1,3/25/2017 16:38,FlightsClimbed,count,2
3/27/2017 10:52,3/27/2017 10:32,10.2.1,3/27/2017 10:32,FlightsClimbed,count,1
3/28/2017 7:43,3/28/2017 7:23,10.2.1,3/28/2017 7:23,FlightsClimbed,count,1
3/28/2017 16:45,3/28/2017 15:52,10.2.1,3/28/2017 15:52,FlightsClimbed,count,1
3/29/2017 16:43,3/29/2017 16:03,10.2.1,3/29/2017 16:03,FlightsClimbed,count,1
3/30/2017 10:43,3/30/2017 9:44,10.2.1,3/30/2017 9:44,FlightsClimbed,count,1
3/30/2017 19:18,3/30/2017 17:46,10.2.1,3/30/2017 17:46,FlightsClimbed,count,1
3/30/2017 19:18,3/30/2017 17:59,10.2.1,3/30/2017 17:59,FlightsClimbed,count,1
3/30/2017 19:18,3/30/2017 18:27,10.2.1,3/30/2017 18:27,FlightsClimbed,count,1
3/31/2017 10:46,3/31/2017 10:09,10.2.1,3/31/2017 10:09,FlightsClimbed,count,1
4/4/2017 17:53,4/4/2017 17:20,10.2.1,4/4/2017 17:20,FlightsClimbed,count,1
